PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,FamilySize,Embarked_C,Embarked_Q,Embarked_S
1,0,3,1,-0.48320642370279787,1.3736364240316363,-0.5602529642066054,-0.8788200108994082,0.8366964277681603,False,False,True
2,1,1,0,0.6949136991503555,1.3736364240316363,-0.5602529642066054,1.3366505627311,0.8366964277681603,True,False,False
3,1,3,0,-0.17344962638162092,-0.6798499587889568,-0.5602529642066054,-0.7900648523349328,-0.7910074565416825,False,False,True
4,1,1,0,0.4849771708261207,1.3736364240316363,-0.5602529642066054,1.0673524254551596,0.8366964277681603,False,False,True
5,0,3,1,0.4849771708261207,-0.6798499587889568,-0.5602529642066054,-0.7744389665349906,-0.7910074565416825,False,False,True
6,0,3,1,-0.24974840517061503,-0.6798499587889568,-0.5602529642066054,-0.7250024574183433,-0.7910074565416825,False,True,False
7,0,1,1,1.7548257345908296,-0.6798499587889568,-0.5602529642066054,1.0455156118295652,-0.7910074565416825,False,False,True
8,0,3,1,-1.9133050788986066,1.7188893156009506,1.7292056313127158,0.184264126595147,1.667511494976576,False,False,True
9,1,3,0,-0.09785205548555771,-0.6798499587889568,1.8468563386558896,-0.4499439306697041,1.3430273082716069,False,False,True
10,1,2,0,-1.1479041871041937,1.3736364240316363,-0.5602529642066054,0.530176228150115,0.8366964277681603,True,False,False
11,1,3,0,-1.9133050788986066,1.3736364240316363,1.7292056313127158,-0.04548833579152164,1.3430273082716069,False,False,True
12,1,1,0,1.7548257345908296,-0.6798499587889568,-0.5602529642066054,0.4097876829708136,-0.7910074565416825,False,False,True
13,0,3,1,-0.6430624402340417,-0.6798499587889568,-0.5602529642066054,-0.7744389665349906,-0.7910074565416825,False,False,True
14,0,3,1,0.7639870324152693,1.3736364240316363,1.8468563386558896,0.5679458144351708,1.7684489969064414,False,False,True
15,0,3,0,-1.1479041871041937,-0.6798499587889568,-0.5602529642066054,-0.7990223003910729,-0.7910074565416825,False,False,True
16,1,2,0,1.7548257345908296,-0.6798499587889568,-0.5602529642066054,-0.08799900911574544,-0.7910074565416825,False,False,True
17,0,3,1,-1.9133050788986066,1.7188893156009506,1.7292056313127158,0.49936669405602246,1.7298557099543845,False,True,False
18,1,2,1,0.12503322139691256,-0.6798499587889568,-0.5602529642066054,-0.29490695142577483,-0.7910074565416825,False,False,True
19,0,3,0,0.19811473762222268,1.3736364240316363,-0.5602529642066054,0.02877395262730231,0.8366964277681603,False,False,True
